Movie Index,Title,Year,Plot,Director(s),Star(s)
15161,Legacy Night,,Students fight for their lives within a historic university ruled by a secret society.,Jace Witman,
15162,Trail Creek,,"A missing crew member from the failed TV show ""Bloody Legends"" is discovered by monster hunters.",Jace Witman,
15163,Strawberry Spring,,Add a Plot,Jace Witman,
15164,The Stranger: Part Three,,"Five years have passed since the night that Logan discovered the horror awaiting her in the upstairs bedroom of the house she was babysitting in. Now in college, Logan visits her hometown and soon finds out that evil never left.",Jace Witman,
15165,LEVEL 5,,"John Anderson and his wife accept an invitation to move into an experimental community project called Parasol Plaza. Unbeknownst to John and the rest of the community, they are to be test ...                See full summary »",Jace Witman,
15166,Platypus,,"When genetic tests go horribly wrong, competing government groups must band together to survive a giant monster.",Jace Witman,"Brian J. O'Donnell, Niki Cipriano"
15167,A Cup Full of Crazy,,"An award winning screenwriter, who is recovering from an emotional breakdown, must figure out who is terrorizing her before she goes insane.",Jillian Bullock,"Billy Blanks, Brian Anthony Wilson, Adam Ratcliffe, Christopher Mann"
15168,Pagan,,Two brothers unearth an ancient monster for the purpose of having it murder a man on their behalf.,Jillian Bullock,
15169,The Corrupt Half: Transformation,,Natalie's Dark Half possesses a woman who struggles to fight off her demonic presence.,Jillian Bullock,
15170,Red Bay,,"After learning that early slasher films were inspired by a real person, a group of college students visit the killer's hometown to film a documentary. However, everything may not be as it seems.",Jillian Bullock,
15171,Let's Get Scary,,"On Halloween night, a babysitter and her younger cousins are preyed upon by a hideous monster when a mysterious toy is left at the front door.",Jillian Bullock,
15172,Frost,,A group of friends fight for their lives when they conjure a notorious serial killer from the dead.,Jillian Bullock,Bella Dontine
15173,Quartz Vein,,A prospector in the year 2047 must rescue a girl enslaved by a mutant race of gold-injecting vampires.,Jared Masters,"Dawna Lee Heising, Jared Masters, Elizabeth Rath, Jeffrey Dean Gray"
15174,The Townies,,Plot kept under wraps.,Jared Masters,
15175,Chrysalis,,"A brilliant PhD student suffers a debilitating head injury and is forced to convalesce in a ""halfway house"" for mentally challenged adults, only to find that his room is haunted by a violent entity.",Jared Masters,
15176,RED LIGHT,,Add a Plot,Alex Kahuam,Ted Raimi
15177,The Inhabitants,,"Eliza Thompson, the only doctor in a remote Rocky Mountain settlement (1700's), fights to escape her family's dark legacy as she finds herself tasked with the salvation of the town as it succumbs to a supernatural plague.",Alex Kahuam,
15178,Predecessor,,"Competing teams of scientists, one millennials and the other baby boomers, defend themselves against a reactivated WWII-era cyborg with deadly mood swings.",Alex Kahuam,
15179,Untitled Horror Project,,Add a Plot,Alex Kahuam,
15180,Die Die Delta Pi 2: A New Chapter,,"The Burnt One returns to kill the new Delta Pi sorority sisters when the killer finds out that a new chapter has opened up in El Paso, Texas.",Arturo Portillo,"Frank Powers, Sherrie Prose, Michelle Martinez, Jerry Walker"
15181,Días de los Muertos,,A teenage girl accidentally unleashes the wrath of the Dead while trying to uncover her family's dark past.,Arturo Portillo,
15182,Incubus,,A man who has struggled with infidelity in the past with his wife and their mutual friend has come to a place where he is presented with the opportunity to pursue another romantic interest ...                See full summary »,NoxParr,"Anna Bryan, Rae Lynn Marotto, NoxParr"
15183,The Caregivers,,Add a Plot,NoxParr,Mikeal Burgin
15184,Brotherhood Bloodlines: A Hunters' Crossing Story,,"In this prequel/spin-off of the original Hunters' Crossing, Trevor's twin brother Ford deals with a heap of trouble when he accidentally unleashes a Djinn upon New York City.",Zach Zeman,"Carmine Capobianco, Darian Stranix, Jordan Herrera, Justin DeSilets"
15185,Ella Mental,,Add a Plot,Zach Zeman,
15186,The Filth Eaters,,"Condemned and labeled 'Filth eaters' - the Catholic Church continues to employ their services today. But now Marian Exuperius Le Corre, the last Sin Eater will face her ultimate challenge against a Doctor who is hellbent on manipulating the Sin's of the dead to construct a Master Race.",Zach Zeman,
15187,The Chrysalis,,"A couple who are forced out of New York City and buy an old house in the suburbs, where they discover something eerie growing in the basement.",Zach Zeman,
15188,Fright,,"While on a road trip through Tennessee, a group of friends fall prey to a sinister killer who's plans for them are unfathomable.",Zach Zeman,"Lew Temple, Christopher Sean"
15189,Pleonexia,,"A series of brutal, ritualistic murders leads a young runaway and private detective onto the deadly path of a sadomasochistic, serial killer known as Pleonexia, a cunning and elusive being,...                See full summary »",Zach Zeman,
15190,Mayo,,A father and his friend embark on a rescue mission to save the father's son from a Neo-Nazi compound. They will go to the ends of the earth to save the kid but nothing can prepare them for ...                See full summary »,Zach Zeman,
15191,Anadellia Rises,,"A team of demon hunters get a tip that a demon is in a hotel, when they track it down they uncover a horrifying event that is actually taking place. Are they going on a routine mission or ...                See full summary »",Richard Grieco,"Cynthia Rothrock, Sasha Mitchell, Richard Grieco, Lisa Wilcox"
15192,7 Hours,,A woman returns home to face her family and ends up facing the worst fear imaginable.,Ian James Duncan,"Juliet Sorci, Bernhard Forcher, Michael Thomas Wallace"
15193,Untitled Horror Film,,Add a Plot,Ian James Duncan,
15194,The Stonebridge Inn,,"After a brutal massacre that shut down a quaint Texas B&B, four sorority sisters decide to book a night at the newly reopened ""Stonebridge Inn"", unaware someone is there waiting to exact revenge.",Chris Kato,"Lynn Lowry, Chris Kato, Brialynn Massie, Layla Dideban"
15195,Wild Swans,,"An albino, schizophrenic school teacher saves her young pupils from a tragic destiny set by an evil doctor.",Chris Kato,
15196,Vowed,,Add a Plot,Alex West,"Alex West, Ruby Lee Dove II, Hana Wu, Dean Wil"
15197,Unbirth,,Add a Plot,Alex West,"Karsi Cruz Ortega, Karlian Cruz Ortega, Kloee Sky"
15198,Razor Moon,,Add a Plot,Alex West,
15199,Blood,,Add a Plot,Alex West,
15200,Take My Soul,,Mark decides to shoot his music video in Las Vegas but his past catches up to him.,Alex West,
15201,Reset,,A mother and daughter uncover a startling secret.,Alex West,
15202,Titan,,In the depths of Earth evil awaits..,Alex West,
15203,Cold Hand In Mine,,A socialite must protect her child from the ghost of her deceased husband as questions about his death swirl around a small community.,Alex West,
15204,Man Eater,,"""Man Eater"" is a feature length faith based film about how far one man would go to make his wife happy.",Gabriel Tyner,"Mark Provance, Jeff Evans, Rickey Parrish, Juliana Valverde"
15205,Narrative Art,,Add a Plot,Michael Andrew Prieto,Jesse Wilson
15206,They're in the House,,"A young woman struggling with anxiety escapes to a remote cottage, and becomes the victim of a deadly prank.",Christopher von Grebe,"Robin Zavala, Josie McDaniel, River Mayfield, Sarah Krom"
15207,Excerptus: Child of Nosferatu,,"The childless birth of the Vampire is revealed in the manuscript, ""Excerptus - Child of Nosferatu"". Young escort Jacob takes on a lucrative assignment to inspire an elderly European Lady writer in her reclusive ancestral castle.",Christopher von Grebe,
15208,The 49th Day,,"A young girl's imaginary friend starts killing her family off, one by one. But how can you stop Death when she wants to play?",Christopher von Grebe,
15209,The New Hands,,"""The New Hands"" tells the dark tale of Bram Victor on his phantasmagorical journey to find the perfect pair of hands, which he believes will bring his lost love back into his arms once again.",Brandon Scullion,"Lexi Graboski, Sally Kirkland, Felissa Rose, Liesel Hanson"
15210,LITTLE HORROR MOVIE 2,,Add a Plot,Brandon Scullion,
15211,Diesel,,Plot unknown.,Thomas J. Churchill,Steve Darnell
15212,4 Corners,,A group of college students go on a trip to cabin and meet an unexpected supernatural entity.,Thomas J. Churchill,Alan Bagh
15213,Abra-Cadaver,,"A failed career magician takes his show to new heights by killing his ""volunteers"" via live stream internet. A detective, who has a history with the magician, tries desperately to find him before his family becomes the next set of victims.",Thomas J. Churchill,
15214,Witness Infection,,"Sometimes the past comes back to bite you. Two rival mob families are transferred from the Witness Protection Agency by mistake to same city, Temecula, CA.",Andy Palmer,"Erinn Hayes, Tara Strong, Maurice LaMarche, Joseph D. Reitman"
15215,Not Again,,Add a Plot,Chris Clancy,"Kika Magalhães, Randal Reeder, Robyn Paris, Michelle Romano"
15216,Two Nights,,"A woman ventures out to the edge of the Californian Mohave for a solo getaway, but this part of the desert doesn't welcome new life. It takes it.",Chris Clancy,
15217,Phantom Forest,,"When 5 friends go camping at the beginning of summer, they are faced with an evil entity, who controls the forest in which they've decided to go. At first, things seem pretty normal, but ...                See full summary »",Chris Clancy,
15218,Death House 2 the Farm,,Add a Plot,Chris Clancy,
15219,Sector 9,,"After the discovery of a mysterious corps half buried into the wood, 4 young kids start to investigate the unexplained event, but as they get closer to find the truth, things get more dangerous and sinister.",Chris Clancy,
15220,Threshold,,Add a Plot,"George Kaplan, Brian Kelly Jones","Mikael Mattsson, Catherine Mersereau, Julia Gallagher, Clayton Haymes"
15221,The Fallen,,"Trapped in a bunker during World War I, a group of soldiers are faced with an ungodly presence that slowly turns them against each other. As paranoia and fear grow between them, the men experience the true hell of war.","George Kaplan, Brian Kelly Jones",
15222,W.K.I.L.,,"Ahh, the early 90's!. When a B movie slasher crosses over into the real world on Halloween, it's up to a high school radio host and her friends to send him back to the VHS tape he came from.",John Holiday,"Kiersten Coleman, Caroline Sposto, Cody Cowell, Glynn Praesel"
15223,Devilreaux,,Add a Plot,Thomas J. Churchill,Vincent M. Ward
15224,None Shall Pass,,Plot kept under wraps.,Thomas J. Churchill,
15225,Internally Bleeding,,Plot kept under wraps.,Thomas J. Churchill,
15226,Wolf,,"In a small town there is only one problem they face once a year, blood thirsty werewolves.",Thomas J. Churchill,
15227,Grave Hill,,"Remake of the top-grossing Vietnamese horror film of all time, The Housemaid (2016).",Thomas J. Churchill,
15228,Midnight's Eve,,Plot to be announced at a later date.,Richard Stringham,"Jordan Phipps, Greg Fallon"
15229,Smile,,"Following the murder of Emma's Mother, she returns home to Colorado to be with family. Her Mother's murderer returns for some unfinished family business.",Kohl V. Bladen,"Tony Moran, Sarah Cortez, Brandon Tyler Russell, Juli Erickson"
15230,The Blue Room,,"This is a ghost story about a blind man, one haunted room and a not-so-virtuous team of paranormal investigators.",Kohl V. Bladen,
15231,Don't Ask,,"The more a family seems perfect, the more secrets it is hiding.",Kohl V. Bladen,"Gia Skova, Kim Kopf, Chloë Caro"
15232,Harvest House,,Add a Plot,Kohl V. Bladen,Tommy Kijas
15233,Bits,,"When a haunted 90's video game resurfaces in the present, Scott and his friends must figure out how to stop the game from a vicious real life killing spree without they themselves facing Game Over .",Edward Payson,"Najarra Townsend, Dominique Swain, Krista Allen, Dee Wallace"
15234,Blood Ties,,"Blood Ties is a chilling horror anthology film that combines several differing genres of horror, ranging from black comedy, to science fiction, to the supernatural.",James Furlong,Neetu Chandra
15235,Eyes of Eden,,"A man, desperate to find himself again, leaves home and travels deep into the forest. During his trip he fights with troubling flashbacks to find purpose. On his journey he stumbles upon an...                See full summary »",Stephen Presley,Stephen Presley
15236,Untitled Sam Raimi Project,,Plot kept under wraps. Described as a horror thriller set on an island that is a combination of Misery and Castaway.,Stephen Presley,
15237,The Dark Sacrament,,True stories of demonic possession and exorcism set against the backdrop of the Irish countryside.,Stephen Presley,
15238,We Are All Monsters Here,,"As Lauren goes at length to survive the breakout of a vampire virus that only reveals itself at night, she is forced to befriend a young girl infected by the virus. The two women set out on a unique road trip of survival.",Stephen Presley,
15239,Waterloo,,"When four best friends on a cross-country road trip unknowingly stumble upon the aftermath of a grisly murder, they are methodically hunted by the ruthless killer who cannot leave any witness behind.",Nicolas Sicurella,"Mike Dazé, Tracy Willet"
15240,Shadows in the Sky,,Add a Plot,Josue Vasquez,"Alex Martinez, Emmanuel Vasquez"
15241,Torment,,Add a Plot,Josue Vasquez,
15242,Bashira,,An electronic musician and a troubled fan are plunged into a hallucinogenic nightmare where they must confront an ancient Japanese entity - capable of bending space and time and wreaking havoc and death - in order to save their souls.,Fong Nickson,"Liam Aiken, Colin Cunningham, Kiki Sukezane, Alana de Freitas"
15243,"Silent Night, Bloody Night: Untitled Sequel",,Add a Plot,Orlando Eastwood,"Orlando Eastwood, Christina Ramey"
15244,Fair,,"A group of friends make their way to ''Fair'', a fair festival of insane proportions, not realizing that they are being followed by something out of this world.",Colton Baumgartner,"Shawn C. Phillips, James Burleson, Matt Gulbranson, Colton Baumgartner"
15245,Still Small Voice,,A supernatural thriller about a forensic scientist and a disgraced cop trying to stop an assassin who kills by weaponizing violent memories. But how do you find a murderer who leaves behind no physical evidence?,Colton Baumgartner,
15246,The Chaplain,,"A burned out US Army Chaplain who recently returns from Afghanistan goes in search of his kidnapped teenage daughter, only to discover that what's holding her captive is more terrifying than anything he could have ever imagined.",Colton Baumgartner,
15247,They Will Kill,,"Haunted by disturbing dreams, Seth questions his relation with Julia, the alluring woman he can't seem to remember ever meeting.",Colton Baumgartner,
15248,Room 9,,Life altering sins of the past revisit modern day lost souls in a small town...40 years later.,Thomas Walton,"Scout Taylor-Compton, Michael Berryman, Kane Hodder, Kelly Lynn Reiter"
15249,Mastema,,A psychiatrist groups together a crew for a funded study that reveals more then just a haunted asylum.,Thomas Walton,
15250,Howl,,Add a Plot,Michele Martin,"Michele Martin, Kenny Johnson, Scott Hamm, Laura James"
15251,Project Wolf,,Add a Plot,Brad Ryal,Brad Ryal
15252,Loupe,,A fashion model accepts a high paying assignment that takes place overnight with a mysterious photographer.,Alvin Case,Katie Novak
15253,Land of the Rising Sun,,An American photojournalist travels to Japan to document the aftermath of the tsunami and nuclear disaster in Fukushima. What she discovers there turns into an even larger story.,Michael Valinsky,Cortney Palm
15254,Horror Movie,,A horror movie shoot goes terribly wrong.,Michael Valinsky,
15255,The Sum of the Prey,,Add a Plot,Michael Valinsky,
15256,Trap House,,"As a group of Drug Addicts from several walks of life enter into this Trap House to get high, they instead find themselves trapped inside in a deadly game of cat and mouse. In this Hunted ...                See full summary »",Steven Metcalf,"Raj Kala, Lindsey Thaxton, Si Chen"
15257,The Queens of Evil,,Five women go on a murder spree in their self-owned dance club to help rid the country of scummy men.,Steven Metcalf,
15258,Bearry,,Add a Plot,Alexander T. Hwang,"Sarah French, Thomas Haley, Charles Chudabala, Felissa Rose"
15259,They Never Left,,"After being dumped by his girlfriend, Darwin, a down-on-his-luck alcoholic, moves into an unusually affordable NYC apartment. He soon finds out why the rent is so low: a previous tenant had...                See full summary »",Alexander T. Hwang,"Asta Paredes, Clay von Carlowitz"
15260,Chinatown Horror Story,,"An intrepid reporter teams up with a paranormal private investigator and breaks the story of the century in the hidden portals of New York City's Chinatown, where humans walk among ghosts ...                See full summary »",Teressa Tunney,"Angela Wong Carbone, Tamara Skylar Jones, Shing Ka"
15261,Bodies Bodies Bodies,,Plot kept under wraps.,Teressa Tunney,
15262,Crooked Cross Road,,Anthology of three short stories take place on Crooked Cross Road.,Louie g Maldonado,Louie g Maldonado
15263,Wally's Wonderland,,"A quiet drifter is tricked into a janitorial job at the now condemned Wally's Wonderland. The mundane tasks suddenly become an all-out fight for survival against wave after wave of demonic animatronics. Fists fly, kicks land, titans clash -- and only one side will make it out alive.",Kevin Lewis,"Nicolas Cage, Beth Grant, Caylee Cowan, Terayle Hill"
15264,Cake Rotten,,A hardened true-crime novelist and paranormal blogger journey across the South to investigate a disturbing connection between a heinous crime and horror story Internet forum.,Kevin Lewis,
15265,Happy,,Add a Plot,Kevin Lewis,
15266,Dead Stream,,Add a Plot,Kevin Lewis,
15267,Dead in the Water,,Add a Plot,Kevin Lewis,Orlando Jones
15268,Invasion,,A home invasion occurs at the same time aliens invade the planet.,Kevin Lewis,
15269,I Know What's Out There,,Add a Plot,Kevin Lewis,
15270,Dark Cloud,,"Following the aftermath of a horrific accident, a woman is voluntarily subjected to artificial intelligence for rehabilitation.",Jay Ness,"Emily Atack, Hugo Armstrong, Amanda Day, Alexys Gabrielle"
15271,Three Hours,,"Louise abused as a child opens up a funeral home. Her past takes over when she begins to be abused by men. She seeks vengeance, luring men one by one. Louise inflicts pain on her attackers with a ferocity that surpasses even them.",Jay Ness,"Christian Ibarra, Jennifer Bird Pownall"
15272,Vampyr,,Add a Plot,Jackson Campbell Ward,"Helene Udy, Martin Bannon Beaudet"
15273,Ghetto Zombies,,Add a Plot,Bill Perkins,Lara Sebastian
15274,Forest Dark,,"People have gone missing in a small rural town, and its up to the town sheriff to solve the mystery while dealing with the loss of his own - a daughter that's growing up and a mayor itching...                See full summary »",Ed Brown,"Randall Oliver, Tatiana Warden, Jerald Garner, Kimber Hughes"
15275,Figueroa,,Real footage from three friends who decide to rent and Airbnb for the weekend. The footage was found by the Airbnb host Holly who decided to release the video after being turned down by the police.,Ed Brown,"Johanna Rae, Toni Morgan Haye, Vandana A. Singh"
15276,Splatter Camp,,"Eager to film a documentary about the infamous Camp Candy rampage, the Phat Cat Films team soon find themselves at the mercy of a brutal serial killer. They discover that they may be dealing with the original killer himself: Scary Larry.",Ed Brown,
15277,Rate Your Stay,,Details kept under wraps.,Ed Brown,
15278,The Rising,,"She stood there looking down the hallway, her breath was as heavy as the darkness. Trying to figure out where he was. Why is this happening? Who was he? All she could think about was Ty and...                See full summary »",Crystal Baldwin,"Alexa Ketchum, Spencer Kingsley, Ryan Yates, Gerry Rose"
15279,Highway of the Dead,,Add a Plot,Crystal Baldwin,
15280,Axeman 3: Absolution,,The axe-wielding local legend finds an unlikely ally in his quest for revenge.,Crystal Baldwin,
15281,Mojave Massacre,,Add a Plot,Crystal Baldwin,
15282,Exit,,"When a mother still grieving the loss of her daughter is trapped on a nightmarish unending subway train, she must work with two strangers to escape both the malevolent darkness consuming the train, and each other's growing madness.",Don Bitters III,Jonathan Thomas Cassidy
15283,Consciousness,,"The Universe has been ""watching"" longer than we can possibly imagine.",Don Bitters III,
15284,The Well Within,,Hidden Well beneath a Mansion unleashes its secretes when old treaties are broken.,Don Bitters III,
15285,The Remains,,Plot unknown.,Don Bitters III,
15286,Red Angel,,Plot undisclosed at this time.,Don Bitters III,
15287,The Red River,,"A scientist desperately seeking a cure for her son's disease teams up with five fame-seekers as they risk flesh, blood, and bone to touch The Red River--the supernatural source of genius, glory, dreams come true...and homicidal demons.",Jennifer James,Ming Ballard
15288,The Beast,,A woman finds herself stranded on a mysterious island after a small passenger plane crashes.,Jennifer James,
15289,Lilith,,Add a Plot,Jennifer James,
15290,Better Get Lit,,A group of stoners discover the only way to survive the zombie apocalypse is to continue smoking the potent and onerous strain of marijuana they just invented.,Jennifer James,"Sean Faris, Marielle Scott, Graham Rogers, Gabriela Lopez"
15291,Gum,,Three friends want to ace their final exam. They try to make a brain enhancement product to increase their memory using Bacopa Monnieri. Something bad infects the mixture and once the boys ...                See full summary »,Matthew Mark Hunter,Matthew Mark Hunter
15292,Ex-Spelled,,"After an expulsion from school, one kid finds himself heading for a boarding school in the bitter town of Salem. This becomes a nightmare when he finds a hidden, locked-away prophecy leaving the future grim, dark, and filled with fire.",Matthew Mark Hunter,
15293,Vintage,,A dark ritual is responsible for a small towns affluence.,Matthew Mark Hunter,
15294,Disturbing,,A childless couple take into their home a foster child as a first step towards the commitment of adopting her and unimaginable terror follows.,Matthew Mark Hunter,
15295,The Ice Cream Man,,A pair of brothers find themselves haunted by a sinister presence.,Matthew Mark Hunter,
15296,Spirit in the Walls,,Add a Plot,Matthew Mark Hunter,
15297,Rakshasa,,Add a Plot,Matthew Mark Hunter,
15298,Armsageddon,,A small town Sheriff and his Deputy must investigate a series of shootings occurring around town before an angry town takes up arms and makes the situation worse.,John Meacham,"John Meacham, Billy Watson, Josh Russell, Heather Budzian"
15299,The Cradle,,"Plot under wraps, at this time.",John Meacham,
15300,Cradle Will Fall,,Plot is being kept under wraps.,John Meacham,
15301,Timeshare,,"A couple believes their romantic getaway at a timeshare will be everything they dreamed of, but they soon realize they're being stalked by a calculating killer who wants nothing more than to see them slaughtered.",John Meacham,
15302,Sleepaway,,"A year after his younger brother's death, a misunderstood teenager is sent away to an exclusive summer camp in the Poconos for at-risk youth, where he soon discovers his fellow campers are being killed off one by one.",John Meacham,
15303,The Tommyknockers,,The movie is based on the 1987 Stephen King novel of the same name.,John Meacham,
15304,Welcome Home,,Plot is being kept under wraps at this time.,Lewis Gould,Nik Tyler
15305,The Present,,Add a Plot,Lewis Gould,
15306,Claire,,"After a single mother of two struggling with opioid addiction discovers a malevolent being living underneath her single-wide trailer, she must fight to protect her family at any cost.",Lewis Gould,
15307,80's Party,,"When a group of millennials host a 1980's themed party, they accidentally run afoul of a confused serial killer, who thinks it's still the 1980's - and the killings begin again.",Lewis Gould,
15308,Flesh Off the Grill,,Two brothers encounter a macabre family in a Louisiana swamp and must now fight for survival.,James Fox,"Rachel Alig, Lars Slind"
15309,Red Light,,"What's real...& what's fake? 5 teenagers went missing during a college get away trip, they visit an abandon place to see if ghost are real but what they found was something else lurker in the dark.",Jermaine Nix,"Tony Sierra, Shane Koito, Rebecca Martin, Carter Laws"
15310,Terrorized,,"A close group of friends are going on a romantic weekend getaway to a secluded cottage in the woods. Unfortunately for them, a killer has followed them on their couples retreat and intends ...                See full summary »",Jeff Gregoire,"Holly Gardner, Kayla McBrayer"
15311,Don't Go Outside,,A group of friends go away for the weekend but things don't go as planned.,Jeff Gregoire,
15312,Endangered Species,,An immature young vampire must grow up fast when her survival depends upon protecting a human baby in a zombie apocalypse.,Jeff Gregoire,
15313,Derleth: The Awakening,,A college professor who teaches a class in the paranormal takes his students to a haunted asylum for the night.,Michael Lang,"Andrea Leon, Lisette Bross, Dylan Edrington, Loren Blackwell"
15314,Psychosis,,"Detective Aaron McLaren meets two college students, Collin and Jeff at the police station with a video of a murder they witnessed while they were searching for articles for their weekly ...                See full summary »",Gino Raphael Payne,"Tyler Mane, Paul Stevans, AlexAnn Hopkins, Joey Sabo"
15315,Beserker,,"Thirteen years after an eight year-old African-American girl massacres her friends and parents at a sleepover, the now hulking woman massacres her way out of a lock-down psychiatric prison to return home to again cause a high-body count.",Gino Raphael Payne,
15316,Dead Chronicles: Volume One,,Add a Plot,Gino Raphael Payne,
15317,Solus,,Lytta finds herself in a post-apocalyptic world by herself. She takes each day one step at a time and doesn't know the monster that pursues her. Things start to seem more and more familiar and we learn things aren't as we see them.,W.L. Walker,Madeleine Pearson
15318,Troian,,"Four good friends venture into an old house in an attempt to capture the paranormal on camera. However, the previous owners of the home have a different plan. What do you do when faced with the truly unknown?","Patrick Munson, Jalen Council","Anthony Ferro, Lucy Lopez, Cameron Ring, Drew Henriksen"
15319,Untitled Horror Film,,Plot is unknown.,"Patrick Munson, Jalen Council",
15320,Haverhill,,Add a Plot,"Patrick Munson, Jalen Council",
15321,An Unquiet Place,,An unquiet mind at an unquiet place.,"Patrick Munson, Jalen Council",
15322,Heart of the Home,,Add a Plot,David Palmieri,"Elisabeth Steen-Nokleberg, Mia Ando, Yukina Takase, Rachel Amanda Bryant"
15323,I Am Lexie,,"Lexie aims to please, but when her systems values and goals become misaligned with those of her humans it's a recipe for disaster. A seemingly harmless prank quickly goes very wrong on a global scale escalating into a virtual nightmare.",David Palmieri,
15324,Alien Drug Wars: The Tunnel,,An alien creature battles drug traffickers in an underground smuggling tunnel beneath the Mexican border...but who is the drug addict?,David Palmieri,
15325,Tales from the Crypt,,Add a Plot,David Palmieri,
15326,The Dead Letters,,Add a Plot,David Palmieri,Caleb Dwayne Tucker
15327,The Weekend,,Six college-aged friends have fun on a camp out until all but one of them begins acting strange and violent.,David Palmieri,
15328,We're Not Strangers,,Add a Plot,David Palmieri,
15329,Fireangels 2: A Drifter's Nightmare,,The sequel to Fireangels: A Drifter's Fury.,Aeneas Middleton,Aeneas Middleton
15330,Nightwalker,,Add a Plot,Aeneas Middleton,
15331,The Reckoning,,Plot kept under wraps. Described as a supernatural horror-thriller that takes place on a global scale.,Aeneas Middleton,
15332,The Cabin at the End of the World,,"A vacationing family is terrorized by four strangers, who alternately claim to be either averting, or bringing about, the apocalypse.",Aeneas Middleton,
15333,Drawing Near,,"A young woman is called home by her brother, when her estranged mother hospitalized. This sets in motion a demon that is out for her soul and uses her mother's failing health to his advantage.",Joe Robertson,"Rachel Stefursky, Cody Cheyenne Napier, Chrissy Lewis, Gant Montgomery"
15334,Elusive Delusions,,"The death toll is rising in a city in southern California, the police are stumped and the community is terrified. The city cannot figure out if there is one killer or multiple until Detective Smith uncovers a clue.",Jocelyn Sevier,"Drew Moore, Katarina Law, Jocelyn Sevier, Brendan O'Donovan"
15335,If She Screams,,"Kassi's friend takes her to a farm, up in the hills of Northern California, but when all hell breaks loose, she will be put through a gauntlet of terror, and fight to make it off the mountain alive.",Stephen Garnett,"Romy DeNeiro, Desma Triplett, Shelby Lyn, Fabiola Zayas"
15336,Demonicus,,"A young priest, struggling with his faith, is forced at gunpoint to perform an exorcism.",Stephen Garnett,
15337,Sanctuary,,Add a Plot,Stephen Garnett,
15338,It Won't Hurt,,A horror film that defies human nature.,Stephen Garnett,
15339,The Dune Witch,,"The spirit of a drowned witch stalks the beaches of an elite Florida beach town, seeking revenge on the residents.",Stephen Garnett,
15340,Night Comes to Wolf Creek,,Night Comes to Wolf Creek is a supernatural western about a terminally-ill US Marshal determined to stay alive just long enough to kill the man who murdered his mother. The problem is that ...                See full summary »,Stephen Garnett,
15341,Bleeding in the Dark,,Add a Plot,Stephen Garnett,
15342,Snapshot 1988,,Plot unknown.,Stephen Garnett,
15343,The 7th Guest,,"The 7th Guest is based on the revolutionary interactive puzzle adventure game from Trilobyte and Virgin Interactive that Bill Gates called ""the new standard in interactive entertainment."" ...                See full summary »",Stephen Garnett,
15344,Black Mold,,"Grieving his mother's death, Carlos moves into her home and becomes mysteriously ill himself with a slew of symptoms and horrific psychological distortions that appear to be in his head, until his nightmare meets reality.",Stephen Garnett,
15345,Peace of Mind,,"A married couple, trapped in their past, slowly disintegrates.",Rodel Belafonte Brown,Rachel A Tisera
15346,Sarah,,A teen girl is harboring a dark secret.,Alexander Garcia,"Virginia Madsen, Craig Sheffer, Mary Stuart Masterson, Ava Allan"
15347,The Second Coming,,"With modern technology Cardinal Goodman realizes too late that he has not cloned Christ but Satan. The battle between Satan and a faithless priest should be a one-sided affair, but the ...                See full summary »",Alexander Garcia,
15348,Our Lady of the Inferno,,Plot undisclosed.,Alexander Garcia,
15349,Lady of the Shadows,,A group of young adults on a humanitarian trip to Mexico encounter a village with a demonic secret that causes them to face realities they never knew existed.,Alexander Garcia,
15350,Rise of the Crimson Butcher,,"Six years have passed since the grizzly murders in bear county, now an ex military man and his son must struggle to survive before they become the next meal, and it's up to two FBI agents ...                See full summary »",Thomas Rivas,"Thomas Rivas, Eliana Rivas, Evelynn Rivas, Thomas Jackson"
15351,The Undead Coed,,Add a Plot,Thomas Rivas,
15352,Dark Woods,,A group of outlaws has a run in with evil.,Thomas Rivas,
15353,Alone,,"A woman with crippling social anxiety is cursed. She must never be alone for more than a short period of time or ""they"" will come for her.",Thomas Rivas,"Becky Rygg, Mikey Wynn"
15354,Partricks Road,,A writer returns to his hometown to research a urban myth that has haunted him since childhood.,Thomas Rivas,
15355,Essence,,"After her son dies, Joanna discovers a hidden room in her home - a room that could lead her back to her son. Instead, the room unleashes a malevolent cosmic entity that feeds on her fears and erodes her sanity in a horrifying mind game.",Jeff Kacmarynski,"Lynn Lowry, Sienna Kacmarynski, Pamela Adam, Trent Adam"
15356,Swipe Left to Live,,A mysterious entity pits several girls against each other on Halloween night by forcing them to play out a murderous game through their smartphones to stay alive.,Neil Brimelow,"Linnea Gregg, Jason Stanly, Dan Michael"
15357,The Book in the Woods,,"A family forced to move to a remote cabin, finds a mysterious book in the woods that takes them down a path of darkness, death, and murder.",Neil Brimelow,
15358,They,,A crew of oil rig roughnecks in the middle of an empty Texas desert find themselves in a pitched battle for survival against a terrifying and unexpected force.,Neil Brimelow,
15359,Little Mouse,,The choices of a young woman lead her into the clutches of a brutal killer.,Delaney Hathaway,"Stephanie Swift, Robert DiDonato, Daniel Repas, Caleb Dwayne Tucker"
15360,The Cabin on the Lake,,Add a Plot,Delaney Hathaway,"Heather Brittain O'Scanlon, Anthony Bradford, Joseph Anthony Sernio, Nick Bisignano"
